Date,AFK,ARGT,ECH,EDEN,EFNL,EIDO,EIRL,EIS,ENOR,ENZL,EPHE,EPOL,EPU,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FLRU,FXI,GREK,INDA,PGAL,SPY,THD,TUR,UAE
2019-05-07,0.895626800970969,0.8081527166622929,0.7960869232069553,0.9789338020248215,0.9618624938989088,0.9025966815693939,0.9420900581147883,1.1170621086160564,0.9855335012601787,1.1435350526236774,0.9420518041281467,0.8445129726511384,0.9523931338016619,1.037447400412767,1.047487601335239,0.9668452543652938,0.9010515684202698,1.0917934688484572,0.9040993026577477,0.9443688860993138,0.8890846161317786,1.050080941596575,0.8946809021849376,1.0107735218752016,0.8580036846850674,0.9140334762218028,0.9939307395700431,0.9934491438799484,1.0391401071565807,1.0044674551041408,0.9279341691926415,0.8720922053992561,0.9792652577194187,0.8966597396014473,1.0385905263379822,0.9468774315986225,0.8122998480908414,1.0070785150096735,0.9550841930039905,1.143855501040209,0.9844358857309445,0.5352978338769698,0.9116568187978042
2019-05-08,0.897298591038089,0.8194390557383122,0.7951220383897983,0.9889133972383928,0.9608383029513996,0.8989365898596287,0.9434100354062291,1.1267880603956109,0.9903408104804977,1.145316021114901,0.9390058092169339,0.8360717058965684,0.9402867003396642,1.037447400412767,1.0489824352249226,0.9696843924618118,0.9106955074567705,1.0880213773507823,0.9074061512870573,0.9386381379273256,0.8857133975402445,1.0592739572134942,0.893144089931012,1.0160347297097152,0.8617962830172163,0.9165786218101735,1.000953881957328,0.9897862035332432,1.0400195035713662,1.0050774321210156,0.9169956207115207,0.8741510552739079,0.9985479208068458,0.8960159529561248,1.0390252778498594,0.9437624908013028,0.7984312698392635,0.9988359219442953,0.9540071770509903,1.1422663977037555,0.9811288039496239,0.5310830016330153,0.9036598373206819
2019-05-09,0.8922834156613492,0.8253791991183254,0.7941569730685132,0.9865743385259949,0.9569967402595263,0.8861258438853856,0.940769635697128,1.1249645525085645,0.9827287979016297,1.15511081859697,0.9243295701143475,0.830699768189051,0.9354943222989881,1.0398714200899035,1.0463664759179763,0.9599054941857665,0.9045876910674574,1.0662273906077693,0.9024460274211124,0.9325598879389656,0.878007291520135,1.0491913351383513,0.887304567622612,1.0081429862675766,0.8491538437046048,0.9108520442363395,0.9952685436583092,0.9873442109325381,1.021552338099694,1.0029423370593022,0.9110100374258304,0.8465030124862971,0.9834146730380372,0.883142143714949,1.0181525750234524,0.927744042553397,0.7895156889090748,0.9861775065730978,0.9461832339088515,1.1388103114478307,0.9787034444133288,0.5241406379779812,0.8913568659693812
2019-05-10,0.9010599725706436,0.8259730256132517,0.7924202525992818,0.992187848822523,0.9667284289608725,0.889054102703408,0.9449500831006133,1.1290168471510775,1.0007568896882166,1.156446376577314,0.9251601732945639,0.8406760258005743,0.9223788036177931,1.0524757569760532,1.0456190589731345,0.9681070935193018,0.9110168904213594,1.0754477699627474,0.9044300322440845,0.938985423186687,0.8833052197839025,1.059867235959947,0.8833090939301284,1.0147192911318235,0.8622176404631267,0.9191237673985441,1.0016227108734361,0.9926351787159483,1.027121795647061,1.0066025501658542,0.9202977163744089,0.8492972621658962,0.982438482139501,0.9056713098870066,1.0299369713749682,0.9337509486532735,0.7994218264377672,0.9882382155538874,0.9525830196953028,1.144530820688772,0.986089522523524,0.5417442272833435,0.8956629274132408
2019-05-13,0.87640189708526,0.8042916325544653,0.7729279728059698,0.9661473876037564,0.9418878071869818,0.8583087759907503,0.9236088626054709,1.0846423516911559,0.9799244583886223,1.1446482421247293,0.9005150088403082,0.8211074418543188,0.9105243250066828,1.031145175426196,1.032539500874263,0.9422405984316948,0.8846571170681023,1.0440142619622046,0.885580905610208,0.9177987124242005,0.8630769138984367,1.0426673258929766,0.8642537147510029,0.9867701320780375,0.8445183398211572,0.9025801087899719,0.9778779680471491,0.9625182734305351,0.9872563556395324,0.9870806179855546,0.9066759477188389,0.8178254222253605,0.9480225077043347,0.880889291219919,1.0222401061767037,0.9037160343750703,0.7806003937507139,0.9620382324932175,0.933721832668679,1.1157683787618276,0.9705458353632566,0.5219091877088543,0.8446051883581597
2019-05-14,0.8814171698743097,0.8152808765994006,0.777366840073974,0.9695778874713781,0.9482899077218216,0.8689231733096348,0.9302091941888945,1.0986234845682803,0.9867351011617947,1.1468742362398066,0.9154682843885407,0.8180380312239096,0.9095157000840846,1.0301756806423334,1.0411347957399442,0.9558045879687439,0.8926936512618916,1.0570069184401465,0.8921945283298174,0.930649710733973,0.8731908836739638,1.048894758097416,0.8750107700845098,1.0009092011980947,0.8495752011505152,0.907352398290942,0.9909208631915069,0.9743208654172413,0.994877605455711,0.9959265132488012,0.9174082935199309,0.8304729142136504,0.9511954778086951,0.881372051051191,1.0484179990475475,0.9181773960031369,0.7934782010749172,0.9832338274173685,0.9426227917638179,1.1258594148723122,0.9812391870586107,0.5303391294299936,0.8679810629486111
2019-05-15,0.8830888625291197,0.8286460931639847,0.7775599794911208,0.9670830367124076,0.9477776912996794,0.8509882834875364,0.9352695671031777,1.0955839753954082,0.9935458348963528,1.15511081859697,0.9104839341919775,0.8230260376546361,0.9069932747214658,1.0379323174351864,1.0444980130344919,0.959274645642266,0.9013731613933302,1.0653890139900215,0.8928559129634812,0.9320388517714182,0.8755991137637932,1.0563085607978875,0.8805429859815889,1.0055125872792148,0.8491538437046049,0.912124546269137,0.9966063477465755,0.972285952507241,0.9975157947000678,0.9980618189136968,0.9190594305008261,0.8347378409671437,0.938259072824641,0.8787973052334999,1.049852984436626,0.9226270235937639,0.7845627630306424,0.9773461655336847,0.9452930502388706,1.1324541608723078,0.9766089464982366,0.5300911720289864,0.8415294097354938
2019-05-16,0.8868502440616746,0.8494365646967605,0.7719630879888129,0.9716049777352529,0.966984295275168,0.8345177548872118,0.9392296770279879,1.111793730347435,1.0067663445784647,1.1591176849815146,0.8930383991860099,0.8207238369109549,0.9039665944346228,1.0466583359249098,1.0519720235256698,0.9665299366437987,0.9097310085488844,1.0683230073078822,0.900131069394774,0.935859494924084,0.8818602921967024,1.0711360415342486,0.8762402058777842,1.0134040574828265,0.8533681808016198,0.9235777721781926,1.0056358306261348,0.9763557783272414,0.9904807826206086,1.0035523842772376,0.917821055477792,0.8231197126481794,0.9189764733161443,0.8746132531079419,1.056245398067076,0.9268541554131537,0.7806003937507138,0.9894158329308472,0.9497435785422549,1.1429419801226095,0.9674590402903136,0.5206695115971102,0.8402990553446187
2019-05-17,0.8722227141543907,0.8310221868727141,0.765980368912532,0.968174541926861,0.9631432163768459,0.8184130268263773,0.9319694903367098,1.1099703048006708,0.997151362292285,1.1477647685962966,0.899130501487707,0.8184216361672737,0.8994266315414332,1.0384172344576061,1.0493561436973435,0.9583281952432567,0.9016946143607429,1.0519776796727502,0.8961628361318006,0.9323862092164498,0.8712643310021926,1.06817052045406,0.8737814043405656,1.0048549021450845,0.8487323909289556,0.9188054826772224,1.00028519929727,0.962518273430535,0.9705480626168442,0.9968416542767651,0.9128678228340089,0.81282515693492,0.902866843912008,0.8575556321993676,1.0522881051868143,0.9115030025895491,0.7786192091107494,0.9926540985741518,0.9470643489972451,1.1355524853766688,0.9515846833126819,0.5152148923481195,0.8458356143187159
2019-05-20,0.8734765079985757,0.8289431881950688,0.7607695757403894,0.9620932711352369,0.9626309394805097,0.8312233091750949,0.9302091941888945,1.1018653861545165,0.99955510786383,1.1535525072503081,0.9082685424609811,0.8214912915477532,0.8956432811828794,1.060717310791326,1.0459928469241755,0.9507575865202288,0.891086386424828,1.049462828257441,0.893517297597145,0.9273501037488544,0.8664482371569456,1.0652049993738713,0.8716299792639982,0.9936752795093492,0.8483110334830452,0.9140334762218025,0.9899176198173447,0.96129722857583,0.9635129709179722,0.9922660895390667,0.921123329439582,0.8098838640551316,0.9206850934937698,0.8530496065984287,1.0578107202452354,0.8990440069579115,0.7756472535434106,1.0365166422847576,0.944937132789486,1.1280443498442196,0.9526870758737619,0.5194298909320121,0.823689950979777
